"UID","PropertyName","Lon","Lat","AgencyID","Name","Value","Address","Violations2010","REACNumber","Borough","CD","CityCouncilDistrict","CensusTract","BuildingCount","UnitCount","YearBuilt","Owner","Rental.Coop","OwnerProfitStatus","AffordabilityRestrictions","StartAffordabilityRestrictions"
100010,"159 DUPONT STREET DEVELOPMENT",-73.95342268,40.73625535,"BBL 3-02488-0043;HUD Property 800016143","159 DUPONT STREET DEVELOPMENT",112652,"159 DUPONT STREET",0,76,"Brooklyn","BK01: Greenpoint/Williamsburg",33,"Brooklyn 579",1,8,1931,"BE RAKO LLC","Rental","","Not Affordable",1969
100011,"1596 DEVELOPMENT",-73.95631075,40.66816996,"BBL 3-01280-0038;BBL 3-01281-0013;HUD Property 800016144","1596 DEVELOPMENT",228138,"1066 PRESIDENT STREET;1596 BEDFORD AVENUE",0,93,"Brooklyn","BK09: South Crown Heights/Lefferts Gardens",35,"Brooklyn 325",2,17,1923,"1596 ASSOCIATES","Rental","","Affordable",1982
100013,"1614 ASSOCIATES",-73.9564877,40.66767872,"BBL 3-01280-0046;HUD Property 800016147","1614 ASSOCIATES",352710,"1614 BEDFORD AVENUE",0,97,"Brooklyn","BK09: South Crown Heights/Lefferts Gardens",35,"Brooklyn 325",1,20,1920,"1614 ASSOCIATES","Rental","","Affordable",1982
100014,"1650 PRESIDENT STREET",-73.93260749,40.66676967,"BBL 3-01408-0023;HUD Property 800016148","1650 PRESIDENT STREET",1113300,"1650 PRESIDENT STREET",0,61,"Brooklyn","BK09: South Crown Heights/Lefferts Gardens",41,"Brooklyn 351",1,48,1923,"LA HAYEEM REALTY ASSO","Rental","","Affordable",1981
100015,"173 W. 141ST STREET",-73.94045585,40.81904969,"BBL 1-02010-0001;HUD Property 800015139","173 W. 141ST STREET",801000,"173 WEST 141 STREET",0,94,"Manhattan","MN10: Central Harlem",9,"Manhattan 230",1,21,1920,"FOUR H REPUBLIC LLC","Rental","","Not Affordable",1973
100016,"1775 HOUSES",-73.93722408,40.80567572,"BBL 1-01775-0006;HUD Property 800016149","1775 HOUSES",5878193,"107 EAST 126 STREET",5,88,"Manhattan","MN11: East Harlem",9,"Manhattan 204",1,255,1980,"1775 HOUSING ASSOC","Rental","","Not Affordable",1976
100017,"1790 PITKIN AVENUE",-73.9064367,40.67008077,"BBL 3-03726-0013;HUD Property 800016150","1790 PITKIN AVENUE",1918800,"1790 PITKIN AVENUE",4,62,"Brooklyn","BK16: Brownsville",41,"Brooklyn 906",1,90,1956,"KINPIT ASSOCIATES","Rental","","Affordable",1976
100018,"1988 DAVIDSON AVENUE",-73.90870936,40.85325542,"BBL 2-02863-0007;BBL 2-02863-0016;HUD Property 800016151","1988 DAVIDSON AVENUE",555930,"1988 DAVIDSON AVENUE;2024 DAVIDSON AVENUE",1,60,"Bronx","BX05: Fordham/University Heights",14,"Bronx 243",4,48,1925,"1988 DAVIDSON LLC","Rental","","Affordable",1982
100019,"1992 DAVIDSON AVENUE",-73.90944787,40.85244631,"BBL 2-02863-0008;HUD Property 800016152","1992 DAVIDSON AVENUE",221670,"1992 DAVIDSON AVENUE",2,68,"Bronx","BX05: Fordham/University Heights",14,"Bronx 243",1,16,1925,"1992 DAVIDSON LLC","Rental","","Affordable",1980
100020,"2000-2020 DAVIDSON AVENUE",-73.90926324,40.85264928,"BBL 2-02863-0010;HUD Property 800016153","2000-2020 DAVIDSON AVENUE",292440,"2000 DAVIDSON AVENUE",4,28,"Bronx","BX05: Fordham/University Heights",14,"Bronx 243",1,67,1925,"2000 HOLDINGS LLC","Rental","","Not Affordable",1978
100021,"2005-2007 DAVIDSON AVENUE I",-73.90951933,40.85305844,"BBL 2-02870-0040;HUD Property 800015035","2005-2007 DAVIDSON AVENUE I",773100,"2005 DAVIDSON AVENUE",4,82,"Bronx","BX05: Fordham/University Heights",14,"Bronx 243",1,45,1924,"LANDMINE LLC","Rental","","Affordable",1981
100022,"2059 MADISON AVENUE",-73.93776981,40.80923317,"BBL 1-01755-0020;BBL 1-01755-0050;HPD Application 2009-064;HUD Property 800016154","2059 MADISON AVENUE;42 East 131st Street;45 East 130th Street",868230,"2057 MADISON AVENUE;2063 MADISON AVENUE",0,84,"Manhattan","MN11: East Harlem",9,"Manhattan 206",4,55,1926,"2059 MADISON HOUSING","Rental","For Profit","Affordable",1976
100023,"222 WEST 21ST STREET",-73.99787804,40.74309917,"BBL 1-00770-0054;HUD Property 800016156","222 WEST 21ST STREET",825300,"224 WEST 21 STREET",0,94,"Manhattan","MN04: Clinton/Chelsea",3,"Manhattan 87",1,20,1920,"222-224 WEST 21ST STR","Rental","","Not Affordable",1977
100024,"235 BROOK AVENUE",-73.91926878,40.80799481,"BBL 2-02283-0048;BBL 2-02283-0051;BBL 2-02283-0052;BBL 2-02283-0053;HUD Property 800016160","235 BROOK AVENUE",6044340,"235 BROOK AVENUE;245 BROOK AVENUE;488 EAST 139 STREET;494 EAST 139 STREET;496 EAST 139 STREET;499 EAST 138 STREET;501 EAST 138 STREET",14,80,"Bronx","BX01: Mott Haven/Melrose",8,"Bronx 39",8,128,1905,"BROOK-SHARP REALTY LL","Rental","","Affordable",1979
100025,"236-1 DEVELOPMENT ASSOC (BUFF)",-73.98439004,40.67459722,"BBL 3-00969-0001;HUD Property 800016161","236-1 DEVELOPMENT ASSOC (BUFF)",807750,"258 1 STREET",0,100,"Brooklyn","BK06: Park Slope/Carroll Gardens",39,"Brooklyn 135",1,209,1931,"GARDEN ESTATES LLC","Rental","","Not Affordable",1971
100026,"236-1 DEVELOPMENT ASSOC (GREEN)",-73.95332213,40.70980139,"BBL 3-02424-0012;HUD Property 800016162","236-1 DEVELOPMENT ASSOC (GREEN)",443610,"362 SOUTH 2 STREET",0,99,"Brooklyn","BK01: Greenpoint/Williamsburg",34,"Brooklyn 527",1,94,1915,"236-1 DEVELOPMENT ASS","Rental","","Not Affordable",1974
100027,"236-1 DEVELOPMENT ASSOC (GREEN)",-73.98209396,40.67331782,"BBL 3-00970-0077;HUD Property 800016163","236-1 DEVELOPMENT ASSOC (GREEN)",23389,"367 2 STREET",0,84,"Brooklyn","BK06: Park Slope/Carroll Gardens",39,"Brooklyn 135",1,35,1901,"CHRISTOPHER, LAMB","Rental","","Not Affordable",1974
100028,"236-1 DEVELOPMENT ASSOC (GREEN)",-73.98245805,40.67336179,"BBL 3-00970-0001;HUD Property 800016164","236-1 DEVELOPMENT ASSOC (GREEN)",208453,"353 2 STREET",0,98,"Brooklyn","BK06: Park Slope/Carroll Gardens",39,"Brooklyn 135",1,24,1910,"353 SECOND ST TENANTS","Rental","","Not Affordable",1974
100029,"236-1 DEVELOPMENT ASSOC (GREEN)",-73.95368627,40.71003758,"BBL 3-02424-0006;HUD Property 800016165","236-1 DEVELOPMENT ASSOC (GREEN)",480150,"354 SOUTH 2 STREET",0,100,"Brooklyn","BK01: Greenpoint/Williamsburg",34,"Brooklyn 527",1,185,1920,"236-1 DEVELOPMENT ASS","Rental","","Not Affordable",1972
100030,"269 SOUTH 2ND STREET",-73.95674401,40.71155937,"BBL 3-02409-0027;HUD Property 800016166","269 SOUTH 2ND STREET",402480,"269 SOUTH 2 STREET",0,99,"Brooklyn","BK01: Greenpoint/Williamsburg",34,"Brooklyn 523",1,35,1914,"KRAUS, HERMAN I. TR","Rental","","Not Affordable",1970
100031,"269 WEST 118TH STREET",-73.95344281,40.80557087,"BBL 1-01924-0009;BBL 1-01924-0010;HUD Property 800016090","269 WEST 118TH STREET;271 West 118th Street",485820,"269 WEST 118 STREET;271 WEST 118 STREET",2,43,"Manhattan","MN10: Central Harlem",9,"Manhattan 220",2,22,1910,"ONE EIGHTEEN HOUSINGD","Rental","","Affordable",1970
100032,"278-282 BROOK AVENUE",-73.91841226,40.80832357,"BBL 2-02267-0002;BBL 2-02267-0003;HUD Property 800016167","278-282 BROOK AVENUE",480600,"278 BROOK AVENUE;282 BROOK AVENUE",0,91,"Bronx","BX01: Mott Haven/Melrose",8,"Bronx 39",2,30,1906,"BROOK-SHARP REALTY LL","Rental","","Not Affordable",1977
100033,"296 BROOK AVENUE",-73.91810455,40.80886406,"BBL 2-02267-0011;HUD Property 800016168","296 BROOK AVENUE",476010,"296 BROOK AVENUE",0,93,"Bronx","BX01: Mott Haven/Melrose",8,"Bronx 39",1,30,1907,"BROOK-SHARP REALTY LL","Rental","","Not Affordable",1977
100034,"311 WEST 94TH STREET",-73.97481658,40.79446689,"BBL 1-01253-0016;HUD Property 800016169","311 WEST 94TH STREET",1247400,"311 WEST 94 STREET",0,97,"Manhattan","MN07: Upper West Side",6,"Manhattan 183",1,24,1930,"PAMELA FUTTERMAN","Rental","","Affordable",2001
100035,"328-336 WEST 53RD STREET",-73.9861992,40.76453753,"BBL 1-01043-0046;HUD Property 800016170","328-336 WEST 53RD STREET",3945600,"328 WEST 53 STREET;334 WEST 53 STREET",0,99,"Manhattan","MN04: Clinton/Chelsea",3,"Manhattan 133",2,41,1920,"328-36 W 53RD ST REDE","Rental","","Not Affordable",1979
100036,"349 CROWN STREET",-73.9477401,40.66639327,"BBL 3-01291-0001;HUD Property 800016172","349 CROWN STREET",627100,"349 CROWN STREET",6,99,"Brooklyn","BK09: South Crown Heights/Lefferts Gardens",35,"Brooklyn 333",1,35,1922,"KZHB ASSOCIATES","Rental","","Affordable",1978
100037,"414-24 WEST 48TH STREET",-73.99110177,40.7625124,"BBL 1-01057-0141;HUD Property 800016175","414-24 WEST 48TH STREET",5599800,"414 WEST 48 STREET;424 WEST 48 STREET",0,95,"Manhattan","MN04: Clinton/Chelsea",3,"Manhattan 127",2,54,1930,"414-24 WEST 48 ST ETA","Rental","","Not Affordable",1978
100038,"430-440 EAST 138TH STREET",-73.921808,40.80818045,"BBL 2-02282-0018;HUD Property 800016176","430-440 EAST 138TH STREET",2337300,"430 EAST 138 STREET",1,94,"Bronx","BX01: Mott Haven/Melrose",8,"Bronx 25",1,148,1932,"138-SHARP REALTY LLC","Rental","","Affordable",1979
100039,"477 LENOX AVENUE",-73.94181193,40.81349783,"BBL 1-01918-0036;HUD Property 800016179","477 LENOX AVENUE",283590,"477 LENOX AVENUE",2,91,"Manhattan","MN10: Central Harlem",9,"Manhattan 226",1,12,1926,"S HOLDING CORP","Rental","","Affordable",1977
100040,"51 QUINCY STREET APARTMENTS",-73.95915829,40.68613552,"BBL 3-01970-0001;HUD Property 800016180","51 QUINCY STREET APARTMENTS",498600,"49 QUINCY STREET",1,39,"Brooklyn","BK03: Bedford Stuyvesant",36,"Brooklyn 229",1,20,1930,"JMP PROPERTIES LLC","Rental","For Profit","Not Affordable",1995
100041,"520-528 WEST 145TH ST.",-73.94909293,40.82555056,"BBL 1-02076-0046;BBL 1-02076-0049;HUD Property 800015276","520-528 WEST 145TH ST.;HUDSON VIEW II",2356200,"520 WEST 145 STREET;524 WEST 145 STREET",0,87,"Manhattan","MN09: Morningside Heights/Hamilton",7,"Manhattan 229",2,74,1915,"HV II, LLC","Rental","","Affordable",1981
100043,"587-597 EAST 139TH STREET APARTMENTS",-73.91559252,40.80715504,"BBL 2-02552-0061;HUD Property 800218990","587-597 EAST 139TH STREET APARTMENTS",1555200,"587 EAST 139 STREET",0,68,"Bronx","BX01: Mott Haven/Melrose",17,"Bronx 27.02",1,57,1905,"NEW YORK CITY EDUCATI","Rental","","Affordable",2001
100044,"658 MONTGOMERY STREET",-73.94297623,40.66470022,"BBL 3-01311-0038;HUD Property 800016186","658 MONTGOMERY STREET",747900,"658 MONTGOMERY STREET",0,60,"Brooklyn","BK09: South Crown Heights/Lefferts Gardens",35,"Brooklyn 331",1,38,1925,"GIVOH ASSS","Rental","","Affordable",1978
100045,"675 EMPIRE BOULEVARD",-73.93948754,40.66414949,"BBL 3-01422-0001;HUD Property 800016187","675 EMPIRE BOULEVARD",1199700,"673 EMPIRE BOULEVARD",0,83,"Brooklyn","BK09: South Crown Heights/Lefferts Gardens",35,"Brooklyn 331",1,68,1928,"HABRACHA ASSOCIATES","Rental","","Affordable",1980
100046,"724 DEKALB AVENUE",-73.94694502,40.69165026,"BBL 3-01780-0024;BBL 3-01780-0026;HUD Property 800016188","724 DEKALB AVENUE",610110,"724 DEKALB AVENUE;726 DEKALB AVENUE",0,96,"Brooklyn","BK03: Bedford Stuyvesant",36,"Brooklyn 261",2,35,1931,"DEKALB HOLDINGS GROUP","Rental","","Not Affordable",1976
100047,"738 ST. MARK REHAB",-73.94873572,40.67481193,"BBL 3-01227-0023;HUD Property 800016189","738 ST. MARK REHAB;738 St. Marks Avenue",375030,"738 ST MARKS AVENUE",11,50,"Brooklyn","BK08: Crown Heights/Prospect Heights",36,"Brooklyn 317.01",1,21,1900,"738 ST. MARKS EQUITIE","Rental","","Not Affordable",1984
100048,"80-92 RIDGE STREET HOUSING",-73.98344558,40.71791767,"BBL 1-00343-0043;HUD Property 800015728","80-92 RIDGE STREET HOUSING",6607980,"80 RIDGE STREET",0,98,"Manhattan","MN03: Lower East Side/Chinatown",1,"Manhattan 12",2,100,1991,"80-92 RIDGE ST HDFC,I","Rental","","Affordable",1992
100049,"931-933 COLUMBUS AVENUE",-73.96275147,40.79891557,"BBL 1-01841-0062;BBL 1-01841-0063;HUD Property 800016192","931-933 COLUMBUS AVENUE",416754,"931 COLUMBUS AVENUE;933 COLUMBUS AVENUE",3,88,"Manhattan","MN07: Upper West Side",8,"Manhattan 189",2,16,1930,"931 933 COLUMBUS AVET","Rental","","Affordable",1976
100050,"950 ST. MARKS AVE.",-73.94048768,40.67437977,"BBL 3-01230-0023;HUD Property 800016193","950 ST. MARKS AVE.",323730,"950 ST MARKS AVENUE",2,32,"Brooklyn","BK08: Crown Heights/Prospect Heights",36,"Brooklyn 343",1,16,1904,"950 ST MARKS APTS LLC","Rental","","Affordable",1981
100051,"A. KORNEGAY SENIOR HOUSING",-73.93615886,40.80528813,"BBL 1-01775-0045;HUD Property 800213030","A. KORNEGAY SENIOR HOUSING",6054165,"2099 LEXINGTON AVENUE",0,93,"Manhattan","MN11: East Harlem",8,"Manhattan 204",1,90,2003,"A. KORNEGAY SENIOR HO","Rental","","Affordable",2003
100052,"A.C.R.M.D LUBIN CENTER FOR INDEPENDENT LIVING",-73.99297338,40.6777518,"BBL 3-00461-0059;HUD Property 800015411","A.C.R.M.D LUBIN CENTER FOR INDEPENDENT LIVING",557190,"79 3 STREET",0,79,"Brooklyn","BK06: Park Slope/Carroll Gardens",39,"Brooklyn 77",1,25,1920,"ASSOCIATION FOR CHILD","Rental","","Affordable",1986
100053,"ABYSSINIAN TOWERS",-73.94179611,40.81092602,"BBL 1-01728-0057;HFA 1684;HUD Property 800014739;SHARS 20120023","ABYSSINIAN TOWERS",4596750,"44 WEST 131 STREET",2,66,"Manhattan","MN10: Central Harlem",9,"Manhattan 208",1,100,1989,"ABYSSINIAN TOWERS OWN","Rental","","Affordable",1990
100054,"ACADEMY GARDENS",-73.86497279,40.81487991,"BBL 2-03519-0005;HUD Property 800014741","ACADEMY GARDENS;ACADEMY GARDENS ASSOCIATES",1003336,"500 ROSEDALE AVENUE",0,90,"Bronx","BX09: Parkchester/Soundview",18,"Bronx 20",1,469,1932,"ACADEMY GARDENS LLC","Rental","","Not Affordable",1980
100055,"ACCESS HOUSE",-73.97957652,40.72415038,"BBL 1-00389-0028;HUD Property 800014742","ACCESS HOUSE",343530,"220 EAST 7 STREET",1,42,"Manhattan","MN03: Lower East Side/Chinatown",2,"Manhattan 26.02",1,16,1900,"ACCESS HOUSE INC","Rental","","Affordable",1988
100056,"AHI EZER APARTMENTS",-73.96534209,40.60283625,"BBL 3-06682-0045;BBL 3-06683-0052;HUD Property 800014747","AHI EZER APARTMENTS",988380,"1956 EAST 7 STREET;1957 EAST 7 STREET",0,67,"Brooklyn","BK15: Sheepshead Bay",47,"Brooklyn 418",2,74,1929,"AHI EZER HOUSING DEVE","Rental","","Affordable",1977
100057,"AHI EZER PLAZA",-73.96969171,40.60421262,"BBL 3-06681-0225;HUD Property 800014748","AHI EZER PLAZA",776700,"528 KINGS HIGHWAY",0,83,"Brooklyn","BK15: Sheepshead Bay",47,"Brooklyn 414.02",1,50,1987,"AHI EZER KINGS HIGHWA","Rental","","Affordable",1991
100058,"AHRC HOUSING",-73.83856764,40.86556267,"BBL 2-04538-0009;HUD Property 800014732","AHRC HOUSING",595631,"2710 KINGSLAND AVENUE",0,83,"Bronx","BX11: Morris Park/Bronxdale",13,"Bronx 354",1,13,1984,"NEW YORK CITY ASSOC/R","Rental","","Affordable",1985
100059,"AK HOUSES",-73.93679372,40.80621894,"BBL 1-01775-0165;BBL 1-01778-0006;HUD Property 800014749;HUD Property 800015543","AK HOUSES;MS HOUSES",8717400,"107 EAST 129 STREET;110 EAST 128 STREET",15,93,"Manhattan","MN11: East Harlem",9,"Manhattan 204",2,157,1980,"TRIANGLE HOUSING ASSO","Rental","","Affordable",1980
100060,"ALBANY CROSSINGS APARTMENTS, LP",-73.93812447,40.68029899,"BBL 3-01858-0024;BBL 3-01859-0006;BBL 3-01859-0010;BBL 3-01859-0015;BBL 3-01859-0016;HPD Application 2007-093;HUD Property 800014750","1 Albany Avenue;15 Albany Avenue;20 Albany Avenue;3 Albany Avenue;7 Albany Avenue;Albany Crossings;ALBANY CROSSINGS APARTMENTS, LP",3711129,"1 ALBANY AVENUE;12 ALBANY AVENUE;15 ALBANY AVENUE;18 ALBANY AVENUE;2 ALBANY AVENUE;3 ALBANY AVENUE;7 ALBANY AVENUE",10,59,"Brooklyn","BK03: Bedford Stuyvesant",36,"Brooklyn 273",7,92,1904,"ALBANY CROSSINGS APAR","Rental","For Profit","Affordable",1982
100061,"ALBERT GOODMAN PLAZA",-73.90746967,40.8245503,"BBL 2-02621-0001;BBL 2-02632-0001;HUD Property 800014751","ALBERT GOODMAN PLAZA",14240539,"651 EAST 163 STREET;955 CAULDWELL AVENUE;970 BOSTON ROAD",6,56,"Bronx","BX03: Morrisania/Crotona",16,"Bronx 137",3,252,1982,"IMPROVEMENT COUNCIL H","Rental","","Affordable",1982
100062,"ALBERTA L. ALSTON HOUSE",-73.86072007,40.74093994,"BBL 4-01932-0009;HUD Property 800015682","ALBERTA L. ALSTON HOUSE",3355200,"52-09 99 STREET",0,95,"Queens","QN04: Elmhurst/Corona",25,"Queens 443",1,151,1983,"PRESBYTERIAN HOU/DEV/","Rental","","Affordable",1984
100063,"ALDUS GREEN",-73.88894667,40.82343332,"BBL 2-02747-0024;BBL 2-02747-0028;BBL 2-02748-0056;BBL 2-02748-0058;BBL 2-02748-0060;BBL 2-02748-0062;BBL 2-02748-0064;BBL 2-02755-0029;BBL 2-02756-0001;BBL 2-02756-0006;BBL 2-02756-0050;HUD Property 800014752;OHO H179A","ALDUS GREEN",6442110,"1000 BRYANT AVENUE;1001 BRYANT AVENUE;1013 BRYANT AVENUE;1016 BRYANT AVENUE;1017 BRYANT AVENUE;1025 ALDUS STREET;1032 ALDUS STREET;988 ALDUS STREET;995 ALDUS STREET;996 ALDUS STREET;999 ALDUS STREET",9,91,"Bronx","BX02: Hunts Point/Longwood",17,"Bronx 119",11,395,1923,"ALDUS GREEN CORP","Rental","Limited Dividend","Affordable",1976
100064,"ALDUS I",-73.88967173,40.82196285,"BBL 2-02746-0040;BBL 2-02746-0044;HUD Property 800015121","ALDUS I",1525770,"931 FAILE STREET;949 FAILE STREET",0,90,"Bronx","BX02: Hunts Point/Longwood",17,"Bronx 119",2,95,1919,"FAILE STREET ASSOCIAT","Rental","","Affordable",1983
100065,"ALDUS III",-73.88807977,40.82543063,"BBL 2-02750-0020;BBL 2-02757-0024;BBL 2-02757-0028;HUD Property 800014753","ALDUS III",2264980,"1071 LONGFELLOW AVENUE;1076 FAILE STREET;1083 LONGFELLOW AVENUE",4,82,"Bronx","BX02: Hunts Point/Longwood",17,"Bronx 121.02",5,173,1918,"PRC WESTCHESTER AVENU","Rental","","Not Affordable",1980
100066,"ALEXANDER A. CORPREW APARTMENTS",-73.8995678,40.82921244,"BBL 2-02673-0051;BBL 2-02682-0001;HUD Property 800015723","ALEXANDER A. CORPREW APARTMENTS",1654020,"1200 UNION AVENUE;1215 UNION AVENUE",3,55,"Bronx","BX03: Morrisania/Crotona",16,"Bronx 151",3,78,1912,"ALCOR ASSOCIATES L.P.","Rental","","Affordable",1983
100067,"ALLEN SENIOR CITIZENS APARTMENTS",-73.78325713,40.69079415,"BBL 4-12322-0001;HPD Application 2006-073;HUD Property 800014755","166-01 Linden Blvd;ALLEN SENIOR CITIZENS APARTMENTS;Allen Senior Housing",10357200,"112-02 167 STREET;166-01 LINDEN BOULEVARD",0,90,"Queens","QN12: Jamaica/Hollis",27,"Queens 266",2,300,1981,"LINDEN 166 HOUSING DE","Rental","For Profit","Affordable",1980
100068,"ALLIANCE APTS FOR THE ELDERLY",-73.98137556,40.72852308,"BBL 1-00405-0001;HUD Property 800054816","ALLIANCE APTS FOR THE ELDERLY",2207700,"174 AVENUE A",0,98,"Manhattan","MN03: Lower East Side/Chinatown",2,"Manhattan 34",1,52,1998,"ALLIANCE APARTMENTSHO","Rental","","Affordable",2000
100069,"ALLIED MANOR",-74.12151988,40.60738025,"BBL 5-00752-0001;HUD Property 800014756","ALLIED MANOR",2164300,"800 MANOR ROAD",0,66,"Staten Island","SI02: South Beach/Willowbrook",49,"Staten Island 187.02",1,104,1979,"ALLIED MANOR ROAD CO","Rental","","Not Affordable",1979
100070,"ALMA RANGEL GARDENS",-73.93858079,40.81509357,"BBL 1-01735-0012;HUD Property 800054886","ALMA RANGEL GARDENS",3007980,"51 WEST 137 STREET",0,94,"Manhattan","MN10: Central Harlem",9,"Manhattan 212",1,88,2001,"ALMA RANGEL GARDENSHO","Rental","","Affordable",2001
100071,"ALVIN MALCOLM SR. CITZ RESIDENCE",-73.86133784,40.88452241,"BBL 2-04668-0065;HUD Property 800221689","ALVIN MALCOLM SR. CITZ RESIDENCE",120197,"720 EAST 221 STREET",0,NA,"Bronx","BX12: Williamsbridge/Baychester",12,"Bronx 396",1,35,2007,"A. MALCOLM HOUSING DE","Rental","","Affordable",2009
100072,"AMBASSADOR RIVIERA APARTMENTS",-73.96413609,40.62219488,"BBL 3-06722-0001;HUD Property 800014757","AMBASSADOR RIVIERA APARTMENTS;AMBASSADOR TERRACE",1561500,"1114 AVENUE K",0,88,"Brooklyn","BK14: Flatbush/Midwood",48,"Brooklyn 534",1,66,1924,"QUEENS PLAZA ASSOCIAT","Rental","","Not Affordable",1983
100073,"ANDREWS PLAZA",-73.91653869,40.85056056,"BBL 2-02877-0453;BBL 2-02877-0458;BBL 2-02877-0543;BBL 2-02878-0156;BBL 2-02878-0190;BBL 2-02879-0075;BBL 2-02879-0149;HUD Property 800014760","ANDREWS PLAZA",6388020,"1725 ANDREWS AVENUE;1759 MONTGOMERY AVENUE;1760 ANDREWS AVENUE;1785 POPHAM AVENUE;1800 POPHAM AVENUE;1820 PHELAN PLACE;1840 SEDGWICK AVENUE",17,71,"Bronx","BX05: Fordham/University Heights",16,"Bronx 215.01",7,306,1921,"ANDREWS PLAZA HOUSING","Rental","","Affordable",1980
100075,"AQUINAS HOUSING FOR THE ELDERLY",-73.88208615,40.84131927,"BBL 2-03130-0002;HUD Property 800014765","AQUINAS HOUSING FOR THE ELDERLY",2407500,"961 EAST TREMONT AVENUE",0,60,"Bronx","BX06: Belmont/East Tremont",15,"Bronx 361",1,101,1986,"AQUINAS HOUSING CORP-","Rental","","Affordable",1987
